cmd,url
cat,/wiki/Cat_(Unix)
cd,/wiki/Cd_(command)
chmod,/wiki/Chmod
chown,/wiki/Chown
chgrp,/wiki/Chgrp
cksum,/wiki/Cksum
cmp,/wiki/Cmp_(Unix)
cp,/wiki/Cp_(Unix)
dd,/wiki/Dd_(Unix)
du,/wiki/Du_(Unix)
df,/wiki/Df_(Unix)
file,/wiki/File_(command)
fsck,/wiki/Fsck
fuser,/wiki/Fuser_(Unix)
ln,/wiki/Ln_(Unix)
ls,/wiki/Ls
mkdir,/wiki/Mkdir
mount,/wiki/Mount_(Unix)
mv,/wiki/Mv
pax,/wiki/Pax_(Unix)
pwd,/wiki/Pwd
rm,/wiki/Rm_(Unix)
rmdir,/wiki/Rmdir
size,/wiki/Size_(Unix)
split,/wiki/Split_(Unix)
tee,/wiki/Tee_(command)
touch,/wiki/Touch_(Unix)
type,/wiki/Type_(Unix)
unmask,/wiki/Umask
at,/wiki/At_(Unix)
bg,/wiki/Bg_(Unix)
chroot,/wiki/Chroot
cron,/wiki/Cron
fg,/wiki/Fg_(Unix)
kill,/wiki/Kill_(command)
killall,/wiki/Killall
nice,/wiki/Nice_(Unix)
pgrep,/wiki/Pgrep
pkill,/wiki/Pkill
ps,/wiki/Ps_(Unix)
pstree,/wiki/Pstree
time,/wiki/Time_(Unix)
top,/wiki/Top_(software)
clear,/wiki/Clear_(Unix)
env,/wiki/Env
exit,/wiki/Exit_(command)
finger,/wiki/Finger_protocol
history,/wiki/History_(Unix)
id,/wiki/Id_(Unix)
logname,/wiki/Logname
mesg,/wiki/Mesg
passwd,/wiki/Passwd
su,/wiki/Su_(Unix)
sudo,/wiki/Sudo
uptime,/wiki/Uptime#Linux
talk,/wiki/Talk_(software)
tput,/wiki/Tput
uname,/wiki/Uname
w,/wiki/W_(Unix)
wall,/wiki/Wall_(Unix)
who,/wiki/Who_(Unix)
whoami,/wiki/Whoami
write,/wiki/Write_(Unix)
awk,/wiki/AWK
banner,/wiki/Banner_(Unix)
basename,/wiki/Basename
comm,/wiki/Comm
csplit,/wiki/Csplit
cut,/wiki/Cut_(Unix)
diff,/wiki/Diff
dirname,/wiki/Dirname
ed,/wiki/Ed_(text_editor)
ex,/wiki/Ex_(text_editor)
fmt,/wiki/Fmt
fold,/wiki/Fold_(Unix)
head,/wiki/Head_(Unix)
iconv,/wiki/Iconv
join,/wiki/Join_(Unix)
less,/wiki/Less_(Unix)
more,/wiki/More_(command)
nl,/wiki/Nl_(Unix)
paste,/wiki/Paste_(Unix)
sed,/wiki/Sed
sort,/wiki/Sort_(Unix)
spell,/wiki/Spell_(Unix)
strings,/wiki/Strings_(Unix)
tail,/wiki/Tail_(Unix)
tr,/wiki/Tr_(Unix)
uniq,/wiki/Uniq
vi,/wiki/Vi
wc,/wiki/Wc_(Unix)
xargs,/wiki/Xargs
alias,/wiki/Alias_(command)
echo,/wiki/Echo_(command)
expr,/wiki/Expr
printf,/wiki/Printf_format_string
sleep,/wiki/Sleep_(Unix)
test,/wiki/Test_(Unix)
true and false,/wiki/True_and_false_(commands)
unset,/wiki/Unset
wait,/wiki/Wait_(command)
yes,/wiki/Yes_(Unix)
dig,/wiki/Dig_(command)
host,/wiki/Host_(Unix)
ifconfig,/wiki/Ifconfig
inetd,/wiki/Inetd
netcat,/wiki/Netcat
netstat,/wiki/Netstat
nslookup,/wiki/Nslookup
ping,/wiki/Ping_(networking_utility)
rdate,/wiki/Rdate
rlogin,/wiki/Rlogin
route,/wiki/Route_(command)
ssh,/wiki/OpenSSH
traceroute,/wiki/Traceroute
find,/wiki/Find
grep,/wiki/Grep
locate,/wiki/Locate_(Unix)
whatis,/wiki/Whatis
whereis,/wiki/Whereis
apropos,/wiki/Apropos_(Unix)
help,/wiki/Help_(command)
man,/wiki/Man_page
bc,/wiki/Bc_(programming_language)
dc,/wiki/Dc_(computer_program)
cal,/wiki/Cal_(Unix)
lp,/wiki/Lp_(Unix)
od,/wiki/Od_(Unix)